,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,release_date_x,country_x,release_date_y,country_y,storyline
0,[7],1196,"Savage Nights (Nuits fauves, Les) (1992)","https://m.media-amazon.com/images/M/MV5BNWVmZjAyZTctYjYwZC00NGIwLThiNWYtNWZkZGJiN2NlMjJhXkEyXkFqcGdeQXVyODU4MzMxNDg@._V1_QL75_UY281_CR11,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNWVmZjAyZTctYjYwZC00NGIwLThiNWYtNWZkZGJiN2NlMjJhXkEyXkFqcGdeQXVyODU4MzMxNDg@._V1_QL75_UY422_CR16,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNWVmZjAyZTctYjYwZC00NGIwLThiNWYtNWZkZGJiN2NlMjJhXkEyXkFqcGdeQXVyODU4MzMxNDg@._V1_QL75_UY562_CR21,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0105032/?ref_=fn_al_tt_1,A bitter story of a young man's crisis.,7.0,2.3K,['Cyril Collard'],"['Cyril Collard', 'Jacques Fieschi']","['Cyril Collard', 'Romane Bohringer', 'Carlos López', 'Corine Blue', 'Claude Winter', 'René-Marc Bini', 'Maria Schneider', 'Clémentine Célarié', 'Laura Favali', ""Denis D'Arcangelo"", 'Jean-Jacques Jauffret', 'Aïssa Djabri', 'Francisco Giménez', 'Marine Delterme', 'Yannick Tolila', 'Olivier Pajot', 'Diego Porres', 'Stephan Lakatos']",,1992,2h 6min,18-06-1993,United Kingdom,18-06-1993,United Kingdom,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura does he come to realize his bisexuality. Jean has to overcome a personal crisis (he is HIV-positive) and a tough choice between Laura and his male lover Samy. —Dragomir R. Radev "
1,[10],219,"Nightmare on Elm Street, A (1984)","https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,5,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX285_CR0,8,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX380_CR0,11,380,562_.jpg 380w",http://www.imdb.com/title/tt0087800/?ref_=fn_al_tt_1,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,7.5,219K,['Wes Craven'],['Wes Craven'],"['Heather Langenkamp', 'Johnny Depp', 'Robert Englund', 'John Saxon', 'Ronee Blakley', 'Amanda Wyss', 'Jsu Garcia', 'Charles Fleischer', 'Joseph Whipp', 'Lin Shaye', 'Joe Unger', 'Mimi Craven', 'Jack Shea', 'Ed Call', 'Sandy Lipton', 'David Andrews', 'Jeff Levine', 'Donna Woodrum']",R,1984,1h 31min,30-08-1985,United Kingdom,30-08-1985,United Kingdom,"On Elm Street, Nancy Thompson and a group of her friends (comprising Tina Gray, Rod Lane and Glen Lantz) are being tormented by a clawed killer in their dreams named Fred Krueger. Nancy must think quickly, as Fred tries to pick them off one by one. When he has you in your sleep, who is there to save you? —simon_hrdng"
2,[7],1678,Mat' i syn (1997),"https://m.media-amazon.com/images/M/MV5BMTQwNTk4Nzk1MV5BMl5BanBnXkFtZTcwOTc0MDAyMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTQwNTk4Nzk1MV5BMl5BanBnXkFtZTcwOTc0MDAyMQ@@._V1_QL75_UY422_CR6,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTQwNTk4Nzk1MV5BMl5BanBnXkFtZTcwOTc0MDAyMQ@@._V1_QL75_UY562_CR8,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0119711/?ref_=fn_al_tt_1,A man goes for a walk through the countryside with his dying mother.,7.4,3.9K,['Aleksandr Sokurov'],['Yuriy Arabov'],"['Aleksei Ananishnov', 'Gudrun Geyer']",,1997,1h 13min,27-03-1998,United Kingdom,27-03-1998,United Kingdom,A slow and poignant story of love and patience told via a dying mother nursed by her devoted son. The simple narrative is a thread woven among the deeply spiritual images of the countryside and cottage. —Archie Moore 
3,[7],1326,Boys (1996),"https://m.media-amazon.com/images/M/MV5BNDE5OTEyZWEtMDg3MC00MzY2LTk3NzMtOTIwOTljMWM1ZmZjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNDE5OTEyZWEtMDg3MC00MzY2LTk3NzMtOTIwOTljMWM1ZmZjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNDE5OTEyZWEtMDg3MC00MzY2LTk3NzMtOTIwOTljMWM1ZmZjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX380_CR0,3,380,562_.jpg 380w",http://www.imdb.com/title/tt0115742/?ref_=fn_al_tt_1,"Patty Vare falls off a horse and is found unconscious by preparatory school student John Baker. He takes her to his dormitory. As he quickly discovers, she is hiding from something. For John this becomes a road to maturity and for Patty, it's a way back to love and tenderness.",5.0,3.6K,['Stacy Cochran'],"['Stacy Cochran', 'James Salter']","['Winona Ryder', 'Lukas Haas', 'John C. Reilly', 'James Le Gros', 'Skeet Ulrich', 'Matt Malloy', 'Spencer Vrooman', 'Charlie Hofheimer', 'Bill Sage', 'Marty McDonough', 'Wiley Wiggins', 'Vivienne Shub', 'Russell Young', 'Christopher Pettiet', 'Catherine Keener', 'Maddie Corman', 'Andy Davis', 'Jessica Harper']",PG-13,1996,1h 26min,30-08-1996,United Kingdom,30-08-1996,United Kingdom,"Patty Vare falls off a horse and is found unconscious by preparatory school student John Baker. He takes her to his dormitory. As he quickly discovers, she is hiding from something. For John this becomes a road to maturity and for Patty, it's a way back to love and tenderness. —Mattias Thuresson"
4,[13 16],978,Heaven's Prisoners (1996),"https://m.media-amazon.com/images/M/MV5BZGYyZmE1YTItMzhkNS00NzgwLWFmNzQtNjBkMjMwOWU4MGJiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY281_CR2,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZGYyZmE1YTItMzhkNS00NzgwLWFmNzQtNjBkMjMwOWU4MGJiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY422_CR2,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZGYyZmE1YTItMzhkNS00NzgwLWFmNzQtNjBkMjMwOWU4MGJiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY562_CR3,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0116508/?ref_=fn_al_tt_1,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.",5.8,5.3K,['Phil Joanou'],"['James Lee Burke', 'Harley Peyton', 'Scott Frank']","['Alec Baldwin', 'Kelly Lynch', 'Mary Stuart Masterson', 'Eric Roberts', 'Teri Hatcher', 'Vondie Curtis-Hall', 'Badja Djola', 'Samantha Lagpacan', 'Joe Viterelli', 'Tuck Milligan', 'Hawthorne James', 'Don Stark', 'Carl A. McGee', 'Paul Guilfoyle', 'Christopher Kriesa', 'Saul Stein', 'Chuck Zito', 'Socorro Santiago']",R,1996,2h 12min,28-06-1996,United Kingdom,28-06-1996,United Kingdom,"Ex-detective Dave Robicheaux has made a new life for himself and his wife Annie running a bait shop in the outskirts of New Orleans. When they save a little girl, the sole survivor of a plane crash, their lives become forever changed. They take the orphan child into their home and prepare to raise her. However, a visit from DEA agent Dautrieve brings out the detective instincts in Robicheaux and he begins to ask about the rest of the passengers. This brings trouble to Robicheaux and he turns to drug lord Bubba Rocque, a childhood friend. But the friendship becomes estranged when an assault on the Robicheaux home leaves one victim...Annie. —P. Wong "
5,[1 3],304,Fly Away Home (1996),"https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0116329/?ref_=fn_al_tt_1,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,6.8,25K,['Carroll Ballard'],"['Bill Lishman', 'Robert Rodat', 'Vince McKewin']","['Jeff Daniels', 'Anna Paquin', 'Dana Delany', 'Terry Kinney', 'Holter Graham', 'Jeremy Ratchford', 'Deborah Verginella', 'Michael J. Reynolds', 'David Hemblen', 'Ken James', 'Nora Ballard', 'Sarena Paton', 'Carmen Lishman', 'Christi Hill', 'Judith Orban', 'Jeff Braunstein', 'John Friesen', 'Chris Benson']",PG,1996,1h 47min,07-02-1997,United Kingdom,07-02-1997,United Kingdom,"Amy is only 13 years old when her mother is killed in a car accident in New Zealand. She goes to Canada to live with her father, Thomas, an eccentric inventor whom she barely knows. She is miserable in her new life...that is until she discovers a nest of goose eggs that were abandoned when developers began tearing up a local forest behind her house. They hatch and she becomes ""Mama Goose"". They must fly south for the winter, but who will lead them there? With a pair of ultralight airplanes, Amy, Thomas, and their friends must find a way to do so. —Martin Lewison "
6,[ 7 13 16],356,"Client, The (1994)","https://m.media-amazon.com/images/M/MV5BNGNjZWYwZGYtZWIxZC00OTYyLTllYTMtZWNiNmQ0YWUzMjkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNGNjZWYwZGYtZWIxZC00OTYyLTllYTMtZWNiNmQ0YWUzMjkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNGNjZWYwZGYtZWIxZC00OTYyLTllYTMtZWNiNmQ0YWUzMjkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,3,380,562_.jpg 380w",http://www.imdb.com/title/tt0109446/?ref_=fn_al_tt_1,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,6.8,64K,['Joel Schumacher'],"['John Grisham', 'Akiva Goldsman', 'Robert Getchell']","['Susan Sarandon', 'Tommy Lee Jones', 'Brad Renfro', 'Mary-Louise Parker', 'Anthony LaPaglia', 'J.T. Walsh', 'Anthony Edwards', 'Will Patton', 'Bradley Whitford', 'Anthony Heald', 'Kim Coates', 'Kimberly Scott', 'David Speck', 'William H. Macy', 'Ossie Davis', 'Micole Mercurio', 'William Sanderson', 'Walter Olkewicz']",PG-13,1994,1h 59min,21-10-1994,United Kingdom,21-10-1994,United Kingdom,"Mark Sway is an 11-year-old boy who lives with his mother and brother in a trailer. One day, he and his brother are hanging out when a car pulls over beside them. The driver then sticks a hose in his exhaust and puts the other end into the car. Mark pulls it out. But the man sees him and grabs him and takes inside the car. The man talks to Mark then later shoots himself. The shock sends Mark's brother into a catatonic state. .And one of his clients is a member of a mob family who is suspected of killing a Senator who was trying to take down his family. But because the Senator's body is missing, they can't prosecute him. Roy Foltrigg (Tommy Lee Jones) thinks the lawyer told Mark where the body is which is why he wants to speak to him. Mark goes to meet Roy and when he threatens him, Mark steps out then Reggie comes in with a recording of his conversation with Mark telling him that made several violations. In the meantime, the mobster is told by the head of the family to take care of Mark. So, he threatens Mark. Mark doesn't know what to do and learns that Reggie has some secrets of her own and is uncertain if he can trust her."
7,[13 16],1553,"Underneath, The (1995)","https://m.media-amazon.com/images/M/MV5BODkxMWRkNDQtZWQzNi00ZDUzLTk2NzAtOWVmZTgxZmZmMDc1XkEyXkFqcGdeQXVyMzY4MDAyMDQ@._V1_QL75_UX190_CR0,2,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BODkxMWRkNDQtZWQzNi00ZDUzLTk2NzAtOWVmZTgxZmZmMDc1XkEyXkFqcGdeQXVyMzY4MDAyMDQ@._V1_QL75_UX285_CR0,4,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BODkxMWRkNDQtZWQzNi00ZDUzLTk2NzAtOWVmZTgxZmZmMDc1XkEyXkFqcGdeQXVyMzY4MDAyMDQ@._V1_QL75_UX380_CR0,5,380,562_.jpg 380w",http://www.imdb.com/title/tt4999878/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",7.6,10,['André Vaarwater'],"['Ruben Meulenbroek', 'André Vaarwater']","['Khalid Ahmed', 'Khalid Ahmed', 'Mika de Pee', 'Jop Gorris', 'Laura Huisman', 'Sanne Koenhen', 'Marty Krielen', 'Veerle Peters', 'Wendy Riksen', 'Michiel van Ieperen', 'Alexander van Reeken', 'Jarno van Werkhoven']",,2016,59min,29-10-2016,Netherlands,29-10-2016,Netherlands,"De film gaat over iets dat misschien dichter bij staat dan je zelf waarschijnlijk denkt. Misschien gebeurt er wel iets soortgelijks in jouw woonplaats, wijk, bij de buren of in je eigen huishouden. Met dit als gegeven vertelt de film over Simon, Saskia, Jesse en Maud, een op het oog doorsnee gezin. Simon werkt als accountant, en een drukke tijd breekt aan, want zijn vriend en collega staat op het punt te gaan trouwen. Ook Saskia is druk, maar meer met haar werk, en ze zoekt een plaats om haar stress kwijt te raken. Jesse heeft stiekem een crush op een meisje, de vriendin van zijn vriend, en Maud probeert de pesters op school te ontvluchten en droomt van een oplossing die er niet is. Zonder dat ze het van elkaar weten worden ze alle vier afzonderlijk meegesleurd in hun eigen levens, problemen en relaties, tot ze elkaar nodig hebben... Maar dan is het al te laat."
8,[4],321,Mother (1996),"https://m.media-amazon.com/images/M/MV5BOGQxNjYwYTAtNmQzNi00NzQ4LWFhYzEtNTdjM2U3YjYyZDMzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BOGQxNjYwYTAtNmQzNi00NzQ4LWFhYzEtNTdjM2U3YjYyZDMzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BOGQxNjYwYTAtNmQzNi00NzQ4LWFhYzEtNTdjM2U3YjYyZDMzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0117091/?ref_=fn_al_tt_1,"A neurotic, twice-divorced sci-fi writer moves back in with his mother to solve his personal problems.",6.9,6.1K,['Albert Brooks'],"['Albert Brooks', 'Monica Mcgowan Johnson']","['Albert Brooks', 'Debbie Reynolds', 'Paul Collins', 'Laura Weekes', 'John C. McGinley', 'Richard Assad', 'Joey Naber', 'Vanessa Williams', 'Lisa Kudrow', 'Rob Morrow', 'Isabel Glasser', 'Danielle Quinn', 'Spencer Klein', 'Anne Haney', 'Billye Ree Wallace', 'James Gleason', 'Matt Nolan', 'Harry Hutchinson']",PG-13,1996,1h 44min,28-03-1997,United Kingdom,28-03-1997,United Kingdom,"After two failed marriages, a science fiction writer (Brooks) decides coming to terms with his mom will improve his chances for a successful relationship, so he moves in with his mom (Reynolds). —JG "
9,[ 0  1  2 10 15],101,Heavy Metal (1981),"https://m.media-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0082509/?ref_=fn_al_tt_1,"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",6.7,34K,"['Gerald Potterton', 'John Bruno', 'John Halas']","['Daniel Goldberg', 'Len Blum', ""Dan O'Bannon""]","['Richard Romanus', 'John Candy', 'Joe Flaherty', 'Don Francks', 'Caroline Semple', 'Susan Roman', 'Al Waxman', 'Harvey Atkin', 'Glenis Wootton Gross', 'Marilyn Lightstone', 'Jackie Burroughs', 'Martin Lavut', 'August Schellenberg', 'John Vernon', 'Eugene Levy', 'Rodger Bumpass', 'Douglas Kenney', 'George Touliatos']",R,1981,1h 26min,19-08-1981,United Kingdom,19-08-1981,United Kingdom,"As Loc-Nar, a pulsating green orb from deep space, finds its way into the Earth, a multifaceted story of cosmic malice that transcends the strict boundaries of our universe unfolds. No one knows the origin of the floating crystalline sphere; however, all those who have encountered mystical Loc-Nar--men and women across galaxies and dimensions--have fallen prey to the corrosive power of the ancient, green-hued entity. As the tentacles of the parasitic intergalactic force spread across time and space, the question remains. Who can stand in the way of pure evil? Will a noble defender answer humankind's urgent call for help? —Nick Riganas"
