,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,release_date,country,storyline
0,[7],650,"Seventh Seal, The (Sjunde inseglet, Det) (1957)","https://m.media-amazon.com/images/M/MV5BM2I1ZWU4YjMtYzU0My00YmMzLWFmNTAtZDJhZGYwMmI3YWQ5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BM2I1ZWU4YjMtYzU0My00YmMzLWFmNTAtZDJhZGYwMmI3YWQ5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX285_CR0,3,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BM2I1ZWU4YjMtYzU0My00YmMzLWFmNTAtZDJhZGYwMmI3YWQ5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX380_CR0,4,380,562_.jpg 380w",http://www.imdb.com/title/tt0050976/?ref_=fn_al_tt_1,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.2,176K,['Ingmar Bergman'],['Ingmar Bergman'],"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe', 'Bibi Andersson', 'Inga Gill', 'Maud Hansson', 'Inga Landgré', 'Gunnel Lindblom', 'Bertil Anderberg', 'Anders Ek', 'Åke Fridell', 'Gunnar Olsson', 'Erik Strandmark', 'Siv Aleros', 'Sten Ardenstam', 'Harry Asklund', 'Benkt-Åke Benktsson']",Not Rated,1957,1h 36min,16-02-1957,Sweden,"A Knight and his squire are home from the crusades. Black Death is sweeping their country. As they approach home, Death appears to the knight and tells him it is his time. The knight challenges Death to a chess game for his life. The Knight and Death play as the cultural turmoil envelopes the people around them as they try, in different ways, to deal with the upheaval the plague has caused. —John Vogel "
1,[7],1252,"Contempt (Mépris, Le) (1963)","https://m.media-amazon.com/images/M/MV5BMGNhNjYxYmUtMGI5Zi00N2MxLTkzYTctYjEyNWQ1YTk4MTc0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UY281_CR6,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMGNhNjYxYmUtMGI5Zi00N2MxLTkzYTctYjEyNWQ1YTk4MTc0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UY422_CR9,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMGNhNjYxYmUtMGI5Zi00N2MxLTkzYTctYjEyNWQ1YTk4MTc0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UY562_CR12,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0057345/?ref_=fn_al_tt_1,Screenwriter Paul Javal's marriage to his wife Camille disintegrates during movie production as she spends time with the producer. Layered conflicts between art and business ensue.,7.6,31K,['Jean-Luc Godard'],"['Alberto Moravia', 'Jean-Luc Godard']","['Brigitte Bardot', 'Jack Palance', 'Michel Piccoli', 'Giorgia Moll', 'Fritz Lang', 'Raoul Coutard', 'Jean-Luc Godard', 'Linda Veras']",Not Rated,1963,1h 42min,29-10-1963,Italy,"Not satisfied with the script for his new movie, producer Jeremy Prokosch hires screenwriter Paul Javal to write a new one. Javal seems oblivious to Prokosch's obvious interest in Javal's pretty wife Camille. As Javal becomes ever more engrossed in writing the screenplay, Camille comes to resent him, thinking her husband is pushing her into the producer's arms for his own benefit. —garykmcd"
2,[ 7 14],275,Sense and Sensibility (1995),"https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_QL75_UX285_CR0,3,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_QL75_UX380_CR0,4,380,562_.jpg 380w",http://www.imdb.com/title/tt0114388/?ref_=fn_al_tt_1,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",7.7,110K,['Ang Lee'],"['Jane Austen', 'Emma Thompson']","['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson', 'Harriet Walter', 'Gemma Jones', 'Hugh Grant', 'Emilie François', 'Elizabeth Spriggs', 'Robert Hardy', 'Ian Brimble', 'Isabelle Amyes', 'Alan Rickman', 'Greg Wise', 'Alexander John', 'Imelda Staunton', 'Imogen Stubbs', 'Hugh Laurie']",PG,1995,2h 16min,23-02-1996,United Kingdom,"When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kind cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them, and though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried. —Kathy Li"
3,[7],1599,Someone Else's America (1995),"https://m.media-amazon.com/images/M/MV5BZWQxNGI4MWYtOThlZi00Y2Q1LTljMTUtYmMwM2NhNzljYzNmXkEyXkFqcGdeQXVyMjM5MTg4MjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZWQxNGI4MWYtOThlZi00Y2Q1LTljMTUtYmMwM2NhNzljYzNmXkEyXkFqcGdeQXVyMjM5MTg4MjQ@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZWQxNGI4MWYtOThlZi00Y2Q1LTljMTUtYmMwM2NhNzljYzNmXkEyXkFqcGdeQXVyMjM5MTg4MjQ@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0114494/?ref_=fn_al_tt_1,"This tale take place in a bar. The Spanish Alonso and his blind mother run this place. Bay, who is Alonso's friend live here too. This story tells something about Alonso and Bay and the ""American Dream"".",7.0,660,['Goran Paskaljevic'],"['Gordan Mihic', 'Mary Popovic', 'David Rose']","['Tom Conti', ""Predrag 'Miki' Manojlovic"", 'María Casares', 'Zorka Manojlovic', 'Sergej Trifunovic', 'José Ramón Rosario', 'Lanny Flaherty', 'Mihalis Giannatos', 'Michael Willis', 'Predrag Ejdus', 'Chia-Ching Niu', 'Andjela Stojkovic', 'Lazar Kalmic', 'Ananda Ellis', 'John Norman Thomas', 'Jonathan Peck', 'Yan Shi', 'Anibal O. Lleras']",R,1995,1h 36min,01-03-1997,United Kingdom,"This tale take place in a bar. The Spanish Alonso and his blind mother run this place. Bay, who is Alonso's friend live here too. This story tells something about Alonso and Bay and the ""American Dream""."
4,[ 4 12 14],835,"Gay Divorcee, The (1934)","https://m.media-amazon.com/images/M/MV5BYjNhYTQ5MmEtNjAyNS00MDYwLThkMmQtNzAxY2JhNjM3NGI2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY281_CR6,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYjNhYTQ5MmEtNjAyNS00MDYwLThkMmQtNzAxY2JhNjM3NGI2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY422_CR9,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYjNhYTQ5MmEtNjAyNS00MDYwLThkMmQtNzAxY2JhNjM3NGI2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY562_CR12,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0025164/?ref_=fn_al_tt_1,A woman thinks a flirting man is the co-respondent her lawyer has hired to expedite her divorce.,7.5,7.5K,['Mark Sandrich'],"['Dwight Taylor', 'Kenneth S. Webb', 'Samuel Hoffenstein']","['Fred Astaire', 'Ginger Rogers', 'Alice Brady', 'Edward Everett Horton', 'Erik Rhodes', 'Eric Blore', 'Lillian Miles', 'Charles Coleman', 'William Austin', 'Betty Grable', 'Norman Ainsley', 'Jimmy Aubrey', 'Finis Barton', 'Eleanor Bayley', 'De Don Blunier', 'Pokey Champion', 'Jack Chefe', 'Cy Clegg']",Approved,1934,1h 47min,08-04-1935,United Kingdom,"Mimi Glossop wants a divorce, so her Aunt Hortense hires a professional to play the co-respondent in apparent infidelity. American dancer Guy Holden meets Mimi while visiting Brightbourne (Brighton) and she thinks he is the co-respondent. The plot is really an excuse for song and dance. The movie won five Academy nominations and the first Oscar for Best Song: ""The Continental"", a 17 1/2-minute production number. —Ed Stephan "
5,[ 4 14],781,French Kiss (1995),"https://m.media-amazon.com/images/M/MV5BMTkzMjg5MDQ3M15BMl5BanBnXkFtZTgwOTM5NTE0MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTkzMjg5MDQ3M15BMl5BanBnXkFtZTgwOTM5NTE0MDE@._V1_QL75_UX285_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTkzMjg5MDQ3M15BMl5BanBnXkFtZTgwOTM5NTE0MDE@._V1_QL75_UX380_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0113117/?ref_=fn_al_tt_1,A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,6.6,49K,['Lawrence Kasdan'],['Adam Brooks'],"['Meg Ryan', 'Kevin Kline', 'Timothy Hutton', 'Jean Reno', 'François Cluzet', 'Suzan Anbeh', 'Renée Humphrey', 'Michael Riley', 'Laurent Spielvogel', 'Victor Garrivier', 'Élisabeth Commelin', 'Julie Leibowitch', 'Miquel Brown', 'Louise Deschamps', 'Olivier Curdy', 'Claudio Todeschini', 'Jerry Harte', 'Thomasine Heiner']",PG-13,1995,1h 51min,03-11-1995,United Kingdom,"Kate and Charlie have the perfect life planned out: buying a house, marriage, kids, the whole works. Kate's fear of flying keeps her in Canada while Charlie goes to Paris for a medical convention. While there Charlie is smitten by the lovely Juliette. He calls off his wedding to Kate and she nervously boards a plane to get him back. She ends up sitting next to the petty French thief Luc Teyssier. He hides a stolen necklace and smuggled grapevine in her bag to get it through customs. Her bag is stolen, the necklace apparently lost, and Kate and Luc head to Cannes--Luc to find the necklace and Kate to get Charlie back. Along the way, Kate and Luc begin to have feelings for each other, which change the course of their lives. —poco loco"
6,[10 16],839,Loch Ness (1995),"https://m.media-amazon.com/images/M/MV5BODVhNGI2ZDMtMTAxMy00ZjhkLTk5ODEtYmE5YTU2YTA5NzY5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX380_CR0,36,380,214_.jpg 380w, https://m.media-amazon.com/images/M/MV5BODVhNGI2ZDMtMTAxMy00ZjhkLTk5ODEtYmE5YTU2YTA5NzY5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX570_CR0,53,570,321_.jpg 570w, https://m.media-amazon.com/images/M/MV5BODVhNGI2ZDMtMTAxMy00ZjhkLTk5ODEtYmE5YTU2YTA5NzY5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX760_CR0,71,760,428_.jpg 760w",http://www.imdb.com/title/tt1208041/?ref_=fn_al_tt_1,A report on the ongoing search for the Loch Ness monster examines eyewitness accounts and scientific evidence. Included: footage of Nessie (maybe); sonar readings; an uncovered hoax.,8.6,5,,,,,,,21-07-1995,United States,A report on the ongoing search for the Loch Ness monster examines eyewitness accounts and scientific evidence. Included: footage of Nessie (maybe); sonar readings; an uncovered hoax.
7,[7],1539,Being Human (1993),"https://m.media-amazon.com/images/M/MV5BMjMwMTc5ODcyOF5BMl5BanBnXkFtZTgwNzY5MjY2MjE@._V1_QL75_UY281_CR93,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMjMwMTc5ODcyOF5BMl5BanBnXkFtZTgwNzY5MjY2MjE@._V1_QL75_UY422_CR139,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMjMwMTc5ODcyOF5BMl5BanBnXkFtZTgwNzY5MjY2MjE@._V1_QL75_UY562_CR185,0,380,562_.jpg 380w",http://www.imdb.com/title/tt2125042/?ref_=fn_al_tt_1,"Following a supernatural radio announcement, Leo, Pearl and Hal arrive at Annie and Tom's to pay homage to George and Nina's baby daughter Eve, the Chosen One, who will save the world. Knowing that this means the extermination of vampires, Hal is less pleased to see her than the others but remains the only one of the three to survive when Pearl and Leo, having declared their love for each other, pass over. Hal appears to come close to killing the baby but is prevented by Tom; however, following a visit to a pawn shop by the two boys (in keeping with Leo's last wish), Fergus, the successor to Griffin, gets on their trail.",7.5,173,['Philip John'],"['Toby Whithouse', 'Lisa McGee']","['Lenora Crichlow', 'Michael Socha', 'Damien Molony', 'Gina Bramhill', 'Anthony Flanagan', 'Russell Gomer', 'Andrew Gower', 'Tamla Kari', 'Louis Mahoney']",TV-14,"Episode aired Feb 12, 2012",57min,12-02-2012,United Kingdom,"Following a supernatural radio announcement, Leo, Pearl and Hal arrive at Annie and Tom's to pay homage to George and Nina's baby daughter Eve, the Chosen One, who will save the world. Knowing that this means the extermination of vampires, Hal is less pleased to see her than the others but remains the only one of the three to survive when Pearl and Leo, having declared their love for each other, pass over. Hal appears to come close to killing the baby but is prevented by Tom; however, following a visit to a pawn shop by the two boys (in keeping with Leo's last wish), Fergus, the successor to Griffin, gets on their trail. —don @ minifie-1"
8,[ 7 16],581,Kalifornia (1993),"https://m.media-amazon.com/images/M/MV5BNDE2ODZhYzUtMTBhYi00ODgxLWJlNTAtODljN2Q2NDhjZmVhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNDE2ODZhYzUtMTBhYi00ODgxLWJlNTAtODljN2Q2NDhjZmVhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNDE2ODZhYzUtMTBhYi00ODgxLWJlNTAtODljN2Q2NDhjZmVhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0107302/?ref_=fn_al_tt_1,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",6.7,53K,['Dominic Sena'],"['Stephen Levy', 'Tim Metcalfe']","['Brad Pitt', 'Juliette Lewis', 'Kathy Larson', 'David Milford', 'David Duchovny', 'John Zarchen', 'David Rose', 'Michelle Forbes', 'Tommy Chappelle', 'Judson Vaughn', 'James Michael McDougal', 'Patricia Sill', 'Brett Rice', 'Marisa Raper', 'Bill Crabb', 'Mary Ann Hagan', 'Jerry G. White', 'Sarah Sullivan']",R,1993,1h 57min,01-04-1994,United Kingdom,"Brian Kessler, a journalist researching serial killers, sets out with his photographer girlfriend Carrie on a cross-country tour of the sites of the killings. Sharing the ride and their expenses are Early Grayce--a paroled white-trash criminal--and his girlfriend Adele. As the trip progresses, Early appears more and more unstable, and Brian and Carrie fear that they have a real-life killer in the back seat of their car. —Scott Renshaw "
9,[ 0  1  4 14],385,True Lies (1994),"https://m.media-amazon.com/images/M/MV5BYzg5YmUyNGMtMThiNS00MjA2LTgwZDctNDlhM2RkZDNmZmRkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYzg5YmUyNGMtMThiNS00MjA2LTgwZDctNDlhM2RkZDNmZmRkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYzg5YmUyNGMtMThiNS00MjA2LTgwZDctNDlhM2RkZDNmZmRkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0111503/?ref_=fn_al_tt_1,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",7.2,248K,['James Cameron'],"['Claude Zidi', 'Simon Michaël', 'Didier Kaminka']","['Arnold Schwarzenegger', 'Jamie Lee Curtis', 'Tom Arnold', 'Bill Paxton', 'Tia Carrere', 'Art Malik', 'Eliza Dushku', 'Grant Heslov', 'Marshall Manesh', 'James Allen', 'Dieter Rauter', 'Jane Morris', 'Katsy Chappell', 'Crystina Wyler', 'Ofer Samra', 'Paul Barselou', 'Charles A. Tamburro', 'Jean-Claude Parachini']",R,1994,2h 21min,12-08-1994,United Kingdom,"Harry Tasker (Arnold Schwarzenegger) leads a double life. At work he is a government agent with a license to do just about anything, while at home he pretends to be a dull computer salesman. He is on the trail of stolen nuclear weapons that are in the hands of fanatic terrorists when something more important comes up. Harry finds his wife is seeing another man (Bill Paxton) because she needs some adventure in her life. Harry decides to give it to her, juggling pursuit of terrorists on one hand and an adventure for his wife on the other while showing he can Tango all at once. —John Vogel "
